         54468576 function calls (54468080 primitive calls) in 325.338 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       36    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        2    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        3    0.000    0.000    0.000    0.000 enum.py:1449(_iter_member_by_def_)
        1    0.000    0.000    0.000    0.000 <string>:1(__create_fn__)
        2    0.000    0.000    0.000    0.000 __init__.py:601(__init__)
       11    0.000    0.000    0.000    0.000 inspect.py:3098(<genexpr>)
        1    0.000    0.000    0.000    0.000 numbers.py:328(Integral)
        9    0.000    0.000    0.000    0.000 dataclasses.py:531(_field_init)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        4    0.000    0.000    0.000    0.000 typing.py:1651(<genexpr>)
       30    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       29    0.000    0.000    0.000    0.000 inspect.py:2828(kind)
       10    0.000    0.000    0.000    0.000 dataclasses.py:673(<genexpr>)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 __init__.py:1447(_clear_cache)
        9    0.000    0.000    0.000    0.000 __init__.py:205(_checkLevel)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:651(_calc_mode)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
        1    0.000    0.000    0.000    0.000 threading.py:870(__init__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        1    0.000    0.000    0.000    0.000 dataclasses.py:407(_fields_in_init_order)
       20    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        2    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
        2    0.000    0.000    0.000    0.000 typing.py:173(_type_check)
        1    0.000    0.000    0.000    0.000 _local.py:482(Path)
        7    0.000    0.000    0.000    0.000 dataclasses.py:865(_set_new_attribute)
        3    0.000    0.000    0.000    0.000 {built-in method marshal.dumps}
        1    0.000    0.000    0.000    0.000 _local.py:252(_from_parsed_string)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(__init__)
       23    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(get_filename)
       21    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
