         132469137 function calls (132468628 primitive calls) in 546.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       32    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        1    0.000    0.000    0.000    0.000 _local.py:245(_from_parsed_parts)
        9    0.000    0.000    0.000    0.000 dataclasses.py:383(field)
        2    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
       11    0.000    0.000    0.000    0.000 inspect.py:3098(<genexpr>)
        9    0.000    0.000    0.000    0.000 dataclasses.py:531(_field_init)
        4    0.000    0.000    0.000    0.000 typing.py:1651(<genexpr>)
        2    0.000    0.000    0.000    0.000 __init__.py:958(createLock)
        1    0.000    0.000    0.000    0.000 numbers.py:172(Real)
       10    0.000    0.000    0.000    0.000 dataclasses.py:673(<genexpr>)
       25    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        9    0.000    0.000    0.000    0.000 __init__.py:205(_checkLevel)
        1    0.000    0.000    0.000    0.000 __init__.py:1447(_clear_cache)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:989(create_module)
        1    0.000    0.000    0.000    0.000 dataclasses.py:1308(fields)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        2    0.000    0.000    0.000    0.000 __init__.py:601(__init__)
        3    0.000    0.000    0.000    0.000 enum.py:37(_is_descriptor)
       29    0.000    0.000    0.000    0.000 inspect.py:2828(kind)
        1    0.000    0.000    0.000    0.000 threading.py:620(set)
        1    0.000    0.000    0.000    0.000 dataclasses.py:407(_fields_in_init_order)
        1    0.000    0.000    0.000    0.000 threading.py:870(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1014(create_module)
       23    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
        7    0.000    0.000    0.000    0.000 dataclasses.py:865(_set_new_attribute)
       21    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1206(get_filename)
        1    0.000    0.000    0.000    0.000 {built-in method posix.open}
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:997(exec_module)
        1    0.000    0.000    0.000    0.000 _local.py:252(_from_parsed_string)
        7    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
        2    0.000    0.000    0.000    0.000 typing.py:173(_type_check)
       19    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:755(_validate_hash_pyc)
       21    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
